SDF_ID,county,year,month,sale_date,sale_price,dom_reported,data_year,zip_code,price_segment
C06-2021-0025604,Boone,2021,1,2021-01-27,276775.0,0,2021,46075,entry
C06-2021-0025605,Boone,2021,1,2021-01-29,552000.0,0,2021,46077,move_up
C06-2021-0025606,Boone,2021,1,2021-01-27,435444.0,0,2021,46077,move_up
C06-2021-0025607,Boone,2021,1,2021-01-29,261771.0,0,2021,46075,entry
C06-2021-0025608,Boone,2021,1,2021-01-29,217000.0,0,2021,46052,entry
C06-2021-0025609,Boone,2021,1,2021-01-29,580175.0,0,2021,46077,move_up
C06-2021-0025610,Boone,2021,1,2021-01-29,249676.0,0,2021,46075,entry
C06-2021-0025612,Boone,2021,1,2021-01-28,174990.0,0,2021,46052,entry
C06-2021-0025613,Boone,2021,1,2021-01-28,239409.0,0,2021,46052,entry
C06-2021-0025614,Boone,2021,1,2021-01-29,295000.0,0,2021,46077,entry
C06-2021-0025615,Boone,2021,1,2021-01-29,309995.0,0,2021,46077,entry
C06-2021-0025618,Boone,2021,1,2021-01-21,418000.0,0,2021,46077,move_up
C06-2021-0025619,Boone,2021,1,2021-01-29,282500.0,0,2021,46077,entry
C06-2021-0025620,Boone,2021,1,2021-01-28,345990.0,0,2021,46077,entry
C06-2021-0025621,Boone,2021,1,2021-01-29,275000.0,0,2021,46077,entry
C06-2021-0025623,Boone,2021,2,2021-02-02,112000.0,0,2021,46052,entry
C06-2021-0025624,Boone,2021,1,2021-01-29,282500.0,0,2021,46077,entry
C06-2021-0025626,Boone,2021,1,2021-01-26,147000.0,0,2021,46077,entry
C06-2021-0025631,Boone,2021,2,2021-02-01,375000.0,0,2021,46075,entry
C06-2021-0025632,Boone,2021,2,2021-02-01,420000.0,0,2021,46077,move_up
C06-2021-0025634,Boone,2021,1,2021-01-29,850000.0,0,2021,46077,move_up
C06-2021-0025635,Boone,2021,1,2021-01-29,214000.0,0,2021,46052,entry
C06-2021-0025635,Boone,2021,1,2021-01-29,214000.0,0,2021,46052,entry
C06-2021-0025637,Boone,2021,1,2021-01-29,60000.0,0,2021,46102,entry
C06-2021-0025637,Boone,2021,1,2021-01-29,60000.0,0,2021,46102,entry
C06-2021-0025640,Boone,2021,1,2021-01-28,64900.0,0,2021,46052,entry
C06-2021-0025640,Boone,2021,1,2021-01-28,64900.0,0,2021,46052,entry
C06-2021-0025641,Boone,2021,1,2021-01-29,490415.0,0,2021,46077,move_up
C06-2021-0025642,Boone,2021,2,2021-02-03,95000.0,0,2021,46052,entry
C06-2021-0025643,Boone,2021,2,2021-02-03,299000.0,0,2021,46077,entry
C06-2021-0025645,Boone,2021,1,2021-01-28,372985.0,0,2021,46077,entry
C06-2021-0025647,Boone,2021,2,2021-02-04,615000.0,0,2021,46077,move_up
C06-2021-0025650,Boone,2021,2,2021-02-05,52000.0,0,2021,46052,entry
C06-2021-0025651,Boone,2021,2,2021-02-05,315000.0,0,2021,46077,entry
C06-2021-0025652,Boone,2021,1,2021-01-27,71500.0,0,2021,46052,entry
C06-2021-0025653,Boone,2021,6,2021-06-17,594000.0,0,2021,46077,move_up
C06-2021-0025654,Boone,2021,2,2021-02-05,410000.0,40,2021,46077,move_up
C06-2021-0025655,Boone,2021,2,2021-02-05,265000.0,0,2021,46077,entry
C06-2021-0025658,Boone,2021,2,2021-02-08,235000.0,0,2021,46077,entry
C06-2021-0025658,Boone,2021,2,2021-02-08,235000.0,0,2021,46077,entry
C06-2021-0025660,Boone,2021,2,2021-02-08,380000.0,0,2021,46071,move_up
C06-2021-0025663,Boone,2021,2,2021-02-08,230000.0,0,2021,46077,entry
C06-2021-0025669,Boone,2021,2,2021-02-02,265000.0,0,2021,46075,entry
C06-2021-0025672,Boone,2021,2,2021-02-08,600000.0,0,2021,46077,move_up
C06-2021-0025674,Boone,2021,2,2021-02-03,64200.0,0,2021,46052,entry
C06-2021-0025675,Boone,2021,2,2021-02-05,425000.0,0,2021,46077,move_up
C06-2021-0025676,Boone,2021,2,2021-02-04,323000.0,0,2021,46075,entry
C06-2021-0025677,Boone,2021,2,2021-02-05,188399.0,0,2021,46052,entry
C06-2021-0025678,Boone,2021,2,2021-02-05,176940.0,0,2021,46052,entry
C06-2021-0025681,Boone,2021,2,2021-02-10,220000.0,0,2021,46052,entry
C06-2021-0025682,Boone,2021,1,2021-01-22,194000.0,0,2021,46052,entry
C06-2021-0025685,Boone,2021,2,2021-02-10,235000.0,0,2021,46052,entry
C06-2021-0025687,Boone,2021,2,2021-02-08,250000.0,0,2021,46077,entry
C06-2021-0025688,Boone,2021,2,2021-02-05,610775.0,0,2021,46077,move_up
C06-2021-0025689,Boone,2021,2,2021-02-09,472500.0,0,2021,46077,move_up
C06-2021-0025690,Boone,2021,2,2021-02-10,275000.0,0,2021,46075,entry
C06-2021-0025691,Boone,2021,2,2021-02-10,80000.0,0,2021,46102,entry
C06-2021-0025691,Boone,2021,2,2021-02-10,80000.0,0,2021,46102,entry
C06-2021-0025694,Boone,2021,2,2021-02-10,485000.0,0,2021,46077,move_up
C06-2021-0025695,Boone,2021,2,2021-02-05,505000.0,0,2021,46077,move_up
C06-2021-0025697,Boone,2021,1,2021-01-29,200616.05,0,2021,46052,entry
C06-2021-0025697,Boone,2021,1,2021-01-29,200616.05,0,2021,46052,entry
C06-2021-0025698,Boone,2021,2,2021-02-12,302500.0,0,2021,46075,entry
C06-2021-0025699,Boone,2021,2,2021-02-09,385000.0,0,2021,46077,move_up
C06-2021-0025700,Boone,2021,2,2021-02-10,78000.0,0,2021,46077,entry
C06-2021-0025702,Boone,2021,1,2021-01-29,298952.0,0,2021,46075,entry
C06-2021-0025703,Boone,2021,2,2021-02-11,550000.0,0,2021,46077,move_up
C06-2021-0025706,Boone,2021,2,2021-02-11,675000.0,0,2021,46077,move_up
C06-2021-0025707,Boone,2021,2,2021-02-09,286365.0,0,2021,46075,entry
C06-2021-0025708,Boone,2021,2,2021-02-12,239000.0,0,2021,46052,entry
C06-2021-0025710,Boone,2021,2,2021-02-09,151000.0,0,2021,46052,entry
C06-2021-0025711,Boone,2021,2,2021-02-12,465000.0,0,2021,46077,move_up
C06-2021-0025712,Boone,2021,2,2021-02-12,640000.0,0,2021,46077,move_up
C06-2021-0025713,Boone,2021,2,2021-02-16,600000.0,0,2021,46077,move_up
C06-2021-0025715,Boone,2021,2,2021-02-05,106000.0,0,2021,46052,entry
C06-2021-0025718,Boone,2021,2,2021-02-09,175797.0,0,2021,46052,entry
C06-2021-0025721,Boone,2021,1,2021-01-29,290980.0,0,2021,46075,entry
C06-2021-0025722,Boone,2021,1,2021-01-12,729000.0,0,2021,46077,move_up
