zip_code,county,median_sale_price,transactions,pct_move_up,zcta_hhi,monthly_payment,afford_ratio_zip,afford_stressed_zip
46118,Hendricks,271000,643,21.461897356143076,77480,1326.4262373621043,0.20543514259609255,0
46121,Hendricks,222000,270,18.51851851851852,87394,1086.5927110493992,0.14919917308502634,0
46122,Hendricks,314995,4388,24.612579762989977,94290,1541.7624820585834,0.19621539701668259,0
46123,Hendricks,325000,7504,32.66257995735607,102989,1590.7325724822288,0.18534786112872972,0
46124,Johnson,156400,503,1.1928429423459244,67926,765.5094594960632,0.13523707437435972,0
46131,Johnson,240000,5090,11.532416502946957,81914,1174.6948227561074,0.17208704095848437,0
46142,Johnson,278000,3637,15.974704426725324,85611,1360.6881696924909,0.19072616879034107,0
46143,Johnson,303077,9080,29.427312775330392,89401,1483.4290949852198,0.19911577208110243,0
46147,Boone,243250,238,17.647058823529413,72031,1190.6021484809296,0.1983482914546675,0
46147,Hendricks,315000,21,38.095238095238095,72031,1541.786954867391,0.2568539026031666,0
46149,Hendricks,282500,218,27.981651376146782,86625,1382.713697619168,0.19154475464854276,0
46158,Hendricks,322000,149,36.91275167785235,79877,1576.0488871977773,0.2367713690595957,0
46160,Johnson,300000,61,31.147540983606557,72003,1468.368528445134,0.24471789149537668,0
46162,Johnson,222350,20,0,115395,1088.3058076659186,0.11317361837160209,0
46164,Johnson,218750,432,11.805555555555555,92235,1070.685385324577,0.13929879789553776,0
46165,Hendricks,225000,202,19.8019801980198,88348,1101.2763963338505,0.14958252315848922,0
46167,Hendricks,324550,1277,32.41973375097886,123390,1588.5300196895612,0.15448869629852285,0
46168,Hendricks,305000,5925,27.89873417721519,87315,1492.8413372525529,0.2051663064425429,0
46180,Hendricks,181000,94,9.574468085106384,79886,885.9156788285643,0.13307698653009,0
46181,Johnson,266441,751,20.239680426098538,85625,1304.1119302915,0.18276605154450218,0
46184,Johnson,255000,2762,14.30123099203476,90250,1248.113249178364,0.1659541162342423,0
46201,Marion,147000,6375,6.0549019607843135,43183,719.5005789381157,0.19993995200095843,0
46202,Marion,350000,2456,42.589576547231275,61082,1713.096616519323,0.33655020133970526,1
46203,Marion,160000,6051,8.758882829284415,55375,783.1298818374048,0.16970760419049857,0
46204,Marion,340500,432,35.648148148148145,88081,1666.5982797852273,0.22705440852650094,0
46205,Marion,240000,3927,20.55003819709702,65756,1174.6948227561074,0.21437340886114253,0
46208,Marion,160000,3314,13.307181653590828,55435,783.1298818374048,0.1695239213862877,0
46214,Marion,205000,1619,0.8647313156269302,58863,1003.385161104175,0.20455331758914938,0
46216,Marion,276041,248,14.516129032258066,56838,1351.0997232017442,0.28525276537564537,1
46217,Marion,235000,3506,6.959498003422704,88326,1150.2220139486885,0.15626954880085436,0
46218,Marion,100000,4706,0.531236719082023,34635,489.45617614837806,0.16958204457284645,0
46219,Marion,161499,4165,2.1368547418967587,57811,790.4668299178691,0.16407953432762673,0
46220,Marion,315000,4130,28.135593220338983,103735,1541.786954867391,0.17835295183311986,0
46221,Marion,187875,2910,2.405498281786942,58316,919.5657909387652,0.18922404642405483,0
46222,Marion,115000,3405,0.6167400881057269,45198,562.8746025706348,0.14944234768900433,0
46224,Marion,179900,1918,0.8342022940563086,53731,880.5316608909321,0.19665332732856614,0
46225,Marion,175000,1230,8.211382113821138,47917,856.5483082596616,0.214507997143309,0
46226,Marion,135100,3987,2.608477552044143,47086,661.2552939764587,0.1685227780596675,0
46227,Marion,205000,4024,2.485089463220676,50993,1003.385161104175,0.23612303518620398,0
46228,Marion,245000,1530,9.803921568627452,95574,1199.1676315635261,0.15056408205958016,0
46229,Marion,190000,2573,0.8938981733385153,62982,929.9667346819182,0.17718714579059125,0
46231,Hendricks,260000,419,4.05727923627685,76823,1272.5860579857829,0.19878204048044718,0
46231,Marion,220000,573,1.9197207678883073,76823,1076.8035875264316,0.1682001880988399,0
46234,Hendricks,285000,1415,8.904593639575973,83137,1394.9501020228774,0.2013471886677957,0
46234,Marion,230950,1266,7.661927330173776,83137,1130.399038814679,0.16316187095728915,0
46235,Marion,203000,3800,1.342105263157895,56160,993.5960375812075,0.21230684563701016,0
46236,Marion,295000,2587,26.942404329339,117530,1443.8957196377153,0.14742405033312844,0
46237,Marion,240000,4207,7.416211076776801,76676,1174.6948227561074,0.18384289573104085,0
46239,Marion,285000,5708,16.87105816398038,92160,1394.9501020228774,0.18163412786756217,0
46240,Marion,325000,1613,31.866088034717915,70728,1590.7325724822288,0.2698901548154443,0
46241,Marion,135000,2667,0.3374578177727784,51598,660.7658378003104,0.15367243020279323,0
46250,Hamilton,219950,219,15.52511415525114,69591,1076.5588594383576,0.18563760131712853,0
46250,Marion,280000,1365,25.274725274725274,69591,1370.4772932154585,0.23631974707340753,0
46254,Marion,195251,2657,3.387278885961611,57825,955.6680784914696,0.19832281784518177,0
46256,Hamilton,674482.5,220,54.090909090909086,86529,3301.2962532899837,0.4578298031813589,1
46256,Marion,299000,1967,23.945094051855616,86529,1463.4739666836504,0.20295724670577267,0
46259,Johnson,135000,19,26.31578947368421,129615,660.7658378003104,0.06117494158549338,0
46259,Marion,351962,2072,39.43050193050193,129615,1722.6997466953546,0.15949077622454388,0
46260,Marion,274950,2562,21.740827478532395,70642,1345.7597563199654,0.22860503773731755,0
46268,Marion,230000,2232,2.0161290322580645,63322,1125.7492051412696,0.21333802567346635,0
46278,Hendricks,642500,64,81.25,153930,3144.7559317533287,0.24515735191996327,0
46278,Marion,350000,829,44.75271411338962,153930,1713.096616519323,0.13354875201865704,0
46280,Hamilton,292249,1906,19.67471143756558,84561,1430.4307802318733,0.20299156068143093,0
46290,Hamilton,540000,97,63.91752577319587,NA,2643.0633512012414,NA,NA
